date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
holiday,,,,,,H,H,H,H,H,H,,,,,,H,H,H,H,H,H,H,H,H,H,,,,,
name0,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,
name1,,,,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,
name2,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,R
name3,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,
name4,,,,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,
name5,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,R
name6,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,
name7,,,,,,,,,,,,R,R,R,R,R,,,,,,,,,,,,,,,
name8,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,R
name9,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,
