,日付,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,曜日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水
,休日,,,,,,休,休,,,,,,,,,,休,休,休,休,休,,,,,,,,,,
名前,種類,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
name0,定期利用日,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
name0,利用/キャンセル待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name1,定期利用日,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,,,,,,,,
name1,利用/キャンセル待ち,,,,,,,,,,,,✔,✔,✔,,,,,,,,,,,,,,,,,
name2,定期利用日,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,O
name2,利用/キャンセル待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name3,定期利用日,O,O,O,O,O,,,O,O,O,,,,,,,,,,,,,,,,,,,,,
name3,利用/キャンセル待ち,✔,✔,✔,,✔,,,,✔,✔,,,,,,,,,,,,,,,,,,,,,
name4,定期利用日,,,,,,,,,,,,O,O,O,O,O,O,O,O,,,,,,,,,,,,
name4,利用/キャンセル待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name5,定期利用日,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,O,O,O
name5,利用/キャンセル待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
